AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
2019-04-01,32,18.4,88.3,0.0
2019-04-02,31.5,20.2,82.1,38.2
2019-04-03,33.6,21.6,84.2,0.0
2019-04-04,30.8,19.6,82.0,0.0
2019-04-05,34,19.8,79.0,0.0
2019-04-06,33.6,20.6,77.2,0.0
2019-04-07,32,18.8,74.8,0.0
2019-04-08,33,20,76.0,0.0
2019-04-09,33.5,19.8,75.3,0.0
2019-04-10,33.6,19.5,76.5,0.0
2019-04-11,34.6,18.2,74.1,0.0
2019-04-12,33.6,19,72.6,0.0
2019-04-13,34,18.6,71.6,0.0
2019-04-14,32.8,18.2,74.1,0.0
2019-04-15,34,18.8,72.7,0.0
2019-04-16,34.5,19,72.2,0.0
2019-04-17,32.2,18.8,71.3,0.8
2019-04-18,33,19.4,77.0,0.0
2019-04-19,32.1,19.3,74.0,0.0
2019-04-20,34.2,18.8,73.3,0.0
2019-04-21,31.8,20.6,72.3,0.6
2019-04-22,33.2,21,76.2,16.9
2019-04-23,33.5,20.8,83.0,0.0
2019-04-24,32,20,79.4,0.0
2019-04-25,31,19.8,81.2,0.0
2019-04-26,34,18,77.7,0.0
2019-04-27,33.2,18.4,78.1,0.0
2019-04-28,30.2,19,78.2,0.0
2019-04-29,31.6,18.2,74.9,0.0
2019-04-30,34,17.6,73.5,0.0
