AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
2019-08-01,29.5,9,71.8,0.0
2019-08-02,31,12,71.7,0.0
2019-08-03,31.5,11.2,73.8,0.0
2019-08-04,32,14.6,73.2,0.0
2019-08-05,31,13,74.0,0.0
2019-08-06,29.2,13.8,72.9,0.0
2019-08-07,28.5,10,75.1,0.0
2019-08-08,27,11.4,75.1,0.0
2019-08-09,29.6,9.2,75.2,0.0
2019-08-10,29,10.2,74.5,0.0
2019-08-11,29.6,11.6,74.0,0.0
2019-08-12,30.5,14,74.2,0.0
2019-08-13,32,10.2,69.0,0.0
2019-08-14,28.5,14.2,79.3,0.0
2019-08-15,31,11.2,72.1,0.0
2019-08-16,30.5,14.2,75.5,0.0
2019-08-17,30.2,14.3,71.8,0.0
2019-08-18,30.7,12.6,73.7,0.0
2019-08-19,30.5,13,70.9,0.0
2019-08-20,32,13.2,73.1,0.0
2019-08-21,32.2,11.4,72.5,0.0
2019-08-22,31.5,13.6,75.9,0.0
2019-08-23,32.2,13.2,75.2,0.0
2019-08-24,30.4,13.6,77.6,0.0
2019-08-25,31.2,11.6,75.4,0.0
2019-08-26,31,12.2,72.5,0.0
2019-08-27,33,13.8,70.6,0.0
2019-08-28,31.2,15,70.2,0.0
2019-08-29,34.5,11.2,72.3,0.0
2019-08-30,32,13.8,71.4,0.0
2019-08-31,32.8,12.4,S/D,0.0
