AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
2019-12-01,33.7,19.4,75.8,0.0
2019-12-02,35.5,19.8,73.2,0.0
2019-12-03,36,19.2,72.7,0.0
2019-12-04,34.6,20.4,68.8,0.0
2019-12-05,32.5,20.8,72.9,0.0
2019-12-06,32.5,18.2,72.1,0.0
2019-12-07,35.5,19.8,71.4,0.0
2019-12-08,33.5,20.4,70.4,0.0
2019-12-09,32.5,18.2,64.5,0.0
2019-12-10,32.4,16.6,67.7,0.0
2019-12-11,29,20.4,71.2,0.0
2019-12-12,30.5,20.8,67.4,0.0
2019-12-13,35,19.8,61.2,0.0
2019-12-14,31.5,18,69.1,0.0
2019-12-15,34.3,16,73.1,0.0
2019-12-16,34,16.6,66.6,0.0
2019-12-17,33,16.8,66.9,0.0
2019-12-18,34.2,19.4,62.2,0.0
2019-12-19,33.2,20,65.7,0.0
2019-12-20,31.2,19.2,68.4,0.0
2019-12-21,34.8,18.5,65.2,0.0
2019-12-22,35.3,20.4,64.5,0.0
2019-12-23,37,20,64.0,0.0
2019-12-24,35.5,19.2,64.9,0.0
2019-12-25,35,18.4,64.3,0.0
2019-12-26,36.6,17.2,61.4,0.2
2019-12-27,36.2,20.4,64.2,0.0
2019-12-28,36,20.5,63.5,1.3
2019-12-29,32,21,77.9,1.7
2019-12-30,28.5,21.2,79.7,0.0
2019-12-31,35,22,65.3,0.0
