AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
2019-01-01,34.5,20,70.3,0.0
2019-01-02,35.5,21,66.6,0.0
2019-01-03,35.8,20.5,68.6,0.0
2019-01-04,37.5,17.8,62.1,0.0
2019-01-05,36.4,19,66.4,0.0
2019-01-06,30.5,23.2,74.4,0.0
2019-01-07,36,22.2,66.4,0.0
2019-01-08,36.1,23.2,65.8,0.0
2019-01-09,35.5,22.2,65.7,0.0
2019-01-10,32,23.8,70.0,2.6
2019-01-11,34,21.6,70.1,0.0
2019-01-12,35,18.5,69.8,0.0
2019-01-13,33,21.4,72.0,0.0
2019-01-14,30,19.2,81.1,0.0
2019-01-15,32,21.4,80.1,0.4
2019-01-16,33,19,75.6,0.0
2019-01-17,32,19.5,78.6,0.0
2019-01-18,33.2,19.6,73.4,0.0
2019-01-19,36,20.2,73.6,0.0
2019-01-20,31.5,20,74.0,0.0
2019-01-21,35.5,21.5,72.7,0.0
2019-01-22,32,22.6,73.5,0.0
2019-01-23,37.5,21.6,70.9,0.0
2019-01-24,35.5,17.8,66.5,0.0
2019-01-25,33.6,19.6,74.2,0.0
2019-01-26,35.6,19.2,70.7,0.0
2019-01-27,37.5,23.5,63.7,0.0
2019-01-28,32,23,66.0,0.2
2019-01-29,34.5,22.6,67.8,0.0
2019-01-30,34.2,23,64.6,0.0
2019-01-31,30.5,23.8,S/D,0.2
