AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
2019-07-01,31.2,16,77.3,0.0
2019-07-02,30.6,17.2,79.7,0.0
2019-07-03,31.2,15.6,79.6,0.0
2019-07-04,29.5,12.6,82.3,0.0
2019-07-05,30.5,16.8,85.0,0.0
2019-07-06,33,16.6,79.4,0.0
2019-07-07,31.7,15.6,77.7,0.0
2019-07-08,31.2,13,84.0,0.0
2019-07-09,29.5,15.5,80.2,0.0
2019-07-10,30.6,10.5,83.0,0.0
2019-07-11,31,11.2,76.1,0.0
2019-07-12,29,14.6,78.2,0.0
2019-07-13,31.5,15.4,76.3,1.2
2019-07-14,27.3,15.8,77.8,1.6
2019-07-15,31.5,15.5,75.5,0.0
2019-07-16,32.6,13.6,75.0,0.0
2019-07-17,30.2,13.7,78.3,0.0
2019-07-18,28,15.2,76.8,0.0
2019-07-19,30.5,10.4,75.2,0.0
2019-07-20,32.2,11,73.2,0.0
2019-07-21,31.7,14.4,69.7,0.0
2019-07-22,31,14.2,76.3,0.0
2019-07-23,32.2,14.8,72.8,0.1
2019-07-24,32,15.4,73.9,0.0
2019-07-25,29.5,15,72.1,0.0
2019-07-26,29,11.2,77.4,0.0
2019-07-27,30.5,12.8,73.5,0.0
2019-07-28,28.7,13,77.8,0.0
2019-07-29,26.2,12.4,75.0,0.0
2019-07-30,28,10,75.9,0.0
2019-07-31,31,8,69.1,0.0
