AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
2019-05-01,33.8,17.4,77.3,0.0
2019-05-02,31.6,16.8,77.8,0.0
2019-05-03,33,19.4,74.8,0.0
2019-05-04,33.2,18.5,75.3,0.0
2019-05-05,30.7,19.8,75.1,0.0
2019-05-06,34,18.5,74.1,0.0
2019-05-07,27.2,20.4,88.1,0.0
2019-05-08,33.2,17,76.8,0.0
2019-05-09,32.5,18.4,77.0,0.0
2019-05-10,31,20.2,77.5,0.0
2019-05-11,32.6,17.2,75.9,0.0
2019-05-12,32,17.5,S/D,S/D
2019-05-13,32.5,20,84.1,2.1
2019-05-14,31.5,19.8,83.0,0.2
2019-05-15,32,19.9,77.3,0.0
2019-05-16,34.5,17.5,75.4,0.0
2019-05-17,32.2,19.4,72.0,0.0
2019-05-18,33,16,73.5,0.0
2019-05-19,33.5,16.3,72.7,0.0
2019-05-20,32.8,16.4,71.8,0.0
2019-05-21,33.6,16.5,S/D,0.0
2019-05-22,33,17.6,73.5,0.0
2019-05-23,30.6,16,73.6,0.1
2019-05-24,31.5,18.5,74.5,0.0
2019-05-25,32,19.2,70.7,3.5
2019-05-26,30.7,18,78.8,0.0
2019-05-27,31.8,17,75.3,0.0
2019-05-28,31,17.1,73.4,0.0
2019-05-29,27.2,15.2,81.2,0.0
2019-05-30,27.6,15.3,78.7,0.0
2019-05-31,32,15.2,73.5,0.0
