AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
2019-11-01,35.5,18.2,69.1,0.3
2019-11-02,33.2,18,72.5,0.2
2019-11-03,34.7,17.9,78.8,0.0
2019-11-04,30,17.6,74.3,0.9
2019-11-05,34.6,16.8,71.4,0.0
2019-11-06,33.8,16.4,73.2,0.0
2019-11-07,33.7,15,73.5,0.0
2019-11-08,34.2,14.5,75.5,0.0
2019-11-09,34.5,15.2,74.2,0.0
2019-11-10,31.5,18,76.6,0.0
2019-11-11,35.5,18,72.8,0.0
2019-11-12,31.8,18.8,74.8,0.0
2019-11-13,33.6,17.6,73.5,0.0
2019-11-14,34,18.2,73.6,0.0
2019-11-15,33.6,16,77.2,0.0
2019-11-16,29.6,17.2,77.8,0.0
2019-11-17,31.2,16,76.3,0.0
2019-11-18,31.3,17,76.3,0.0
2019-11-19,29.2,15.2,75.9,0.0
2019-11-20,34,17,71.5,0.0
2019-11-21,33.5,18.2,73.8,0.0
2019-11-22,31.6,19.5,76.1,0.0
2019-11-23,29,16,79.1,0.0
2019-11-24,31.5,19,77.2,0.0
2019-11-25,29.5,19.4,79.7,0.0
2019-11-26,30.6,19.5,78.8,0.0
2019-11-27,35,18,71.1,1.3
2019-11-28,33.6,19.2,74.1,0.0
2019-11-29,35,19.2,74.2,0.0
2019-11-30,31,19,78.2,0.0
