AÑO / MES / DÍA,MAX,MIN,HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
2019-10-01,28.5,17,74.5,0.0
2019-10-02,32.2,15,74.1,0.0
2019-10-03,28.6,15.8,76.4,0.0
2019-10-04,32,14.2,72.8,0.0
2019-10-05,32,14.8,74.2,0.0
2019-10-06,33.5,16.4,71.5,0.8
2019-10-07,31.8,16,76.1,0.0
2019-10-08,31.5,16.4,72.1,0.0
2019-10-09,33.8,15.6,71.7,0.0
2019-10-10,32.2,13.4,72.4,0.0
2019-10-11,32.5,14.2,76.2,0.0
2019-10-12,33,13.8,72.6,0.0
2019-10-13,31,15.8,74.1,0.0
2019-10-14,34,16.2,68.1,0.0
2019-10-15,34.6,15.2,71.1,0.1
2019-10-16,33.2,17,74.2,0.0
2019-10-17,32.8,17.6,73.9,0.0
2019-10-18,30.5,12.5,77.7,0.0
2019-10-19,35.5,16.6,71.5,0.0
2019-10-20,33.2,17.2,75.0,0.0
2019-10-21,33.5,17.5,73.4,0.0
2019-10-22,33.2,16.6,74.6,0.0
2019-10-23,33.5,17,75.3,0.0
2019-10-24,33,16.2,76.6,0.0
2019-10-25,32.5,16.1,71.9,0.0
2019-10-26,33.2,14.2,68.9,0.0
2019-10-27,34.2,14.3,65.3,0.0
2019-10-28,33.3,16.8,70.1,0.0
2019-10-29,32.5,17,S/D,0.0
2019-10-30,34,16.4,68.3,0.0
2019-10-31,34.8,17,69.8,0.0
